\begin{tabular}{lrrrrrr}
\toprule
{} &     count &     mean &      std &   min &      50\% &       max \\
\midrule
ACSTOTPOP    & 69787.000 & 4400.702 & 2289.191 & 4.000 & 4088.000 & 70271.000 \\
NPL\_CNT      & 69787.000 &    0.018 &    0.145 & 0.000 &    0.000 &     6.000 \\
TSDF\_CNT     & 69787.000 &    0.334 &    0.914 & 0.000 &    0.000 &    39.000 \\
MINORPCT     & 69787.000 &    0.162 &    0.164 & 0.000 &    0.109 &     1.000 \\
LOWINCPCT    & 69787.000 &    0.139 &    0.115 & 0.000 &    0.109 &     1.000 \\
LESSHSPCT    & 69787.000 &    0.054 &    0.058 & 0.000 &    0.036 &     1.000 \\
LINGISOPCT   & 69787.000 &    0.019 &    0.038 & 0.000 &    0.006 &     1.000 \\
UNDER5PCT    & 69787.000 &    0.025 &    0.018 & 0.000 &    0.020 &     0.389 \\
OVER64PCT    & 69787.000 &    0.066 &    0.055 & 0.000 &    0.052 &     1.000 \\
PRE1960PCT   & 69787.000 &    0.127 &    0.132 & 0.000 &    0.090 &     1.000 \\
DSLPM        & 69787.000 &    0.206 &    0.214 & 0.002 &    0.148 &     4.593 \\
CANCER       & 69787.000 &   13.344 &    9.669 & 1.607 &   11.165 &   808.723 \\
RESP         & 69787.000 &    0.184 &    0.118 & 0.017 &    0.153 &     2.053 \\
PTRAF        & 69787.000 &  346.097 &  871.556 & 0.000 &  104.000 & 31282.365 \\
PNPL         & 69787.000 &    0.056 &    0.131 & 0.000 &    0.024 &     6.308 \\
PRMP         & 69787.000 &    0.330 &    0.548 & 0.001 &    0.141 &    17.071 \\
PTSDF        & 69787.000 &    2.217 &   10.631 & 0.001 &    0.413 &   434.080 \\
OZONE        & 69787.000 &   17.934 &    9.779 & 3.389 &   14.837 &    75.836 \\
PM25         & 69787.000 &    3.549 &    1.929 & 0.651 &    3.012 &    16.460 \\
ACCESS       & 69787.000 &    0.156 &    0.083 & 0.025 &    0.135 &     0.705 \\
BINGE        & 69787.000 &    0.174 &    0.035 & 0.028 &    0.173 &     0.462 \\
BPMED        & 69787.000 &    0.733 &    0.071 & 0.101 &    0.746 &     0.920 \\
CHECKUP      & 69787.000 &    0.757 &    0.049 & 0.533 &    0.762 &     0.925 \\
CHOLSCREEN   & 69787.000 &    0.799 &    0.056 & 0.323 &    0.805 &     0.959 \\
COLON\_SCREEN & 69787.000 &    0.636 &    0.073 & 0.000 &    0.644 &     0.830 \\
COREM        & 69787.000 &    0.316 &    0.076 & 0.000 &    0.318 &     0.595 \\
COREW        & 69787.000 &    0.281 &    0.067 & 0.000 &    0.280 &     0.548 \\
CSMOKING     & 69787.000 &    0.182 &    0.060 & 0.025 &    0.177 &     0.514 \\
DENTAL       & 69787.000 &    0.634 &    0.112 & 0.203 &    0.648 &     0.889 \\
LPA          & 69787.000 &    0.254 &    0.077 & 0.077 &    0.246 &     0.644 \\
MAMMOUSE     & 69787.000 &    2.133 &    1.353 & 0.000 &    2.019 &    10.520 \\
SLEEP        & 69787.000 &    0.367 &    0.053 & 0.184 &    0.363 &     0.602 \\
\bottomrule
\end{tabular}
